26: RETAIL PRICE,0.124600,0.129822,0.135696,0.140379,0.144316,0.147972,0.151557,0.155091,0.158612,0.162131,0.165642,0.169146,0.172639,0.176082,0.179433,0.182723,0.185987,0.189229,0.192442,0.195621,0.198764,0.201879,0.204969,0.208035,0.211072,0.214076,0.217051,0.220007,0.222950,0.225882,0.228793,0.231682,0.234554,0.237414,0.240262,0.243099
27: RETAIL PRICE,0.124600,0.127800,0.131759,0.137073,0.142408,0.146661,0.150476,0.154115,0.157705,0.161250,0.164778,0.168195,0.171523,0.174796,0.178008,0.181154,0.184240,0.187286,0.190304,0.193275,0.196199,0.199090,0.201956,0.204800,0.207620,0.210416,0.213186,0.215934,0.218667,0.221384,0.224082,0.226762,0.229429,0.232092,0.234754,0.237413
28: RETAIL PRICE,0.124600,0.129822,0.135696,0.140379,0.144316,0.147972,0.151557,0.155091,0.158612,0.162131,0.165634,0.169009,0.172300,0.175538,0.178718,0.181828,0.184876,0.187886,0.190870,0.193805,0.196691,0.199547,0.202379,0.205190,0.207979,0.210745,0.213488,0.216210,0.218918,0.221617,0.224304,0.226979,0.229648,0.232314,0.234977,0.237639
29: RETAIL PRICE,0.124600,0.127800,0.131759,0.137073,0.142408,0.146661,0.150476,0.154115,0.157705,0.161250,0.164784,0.168315,0.171837,0.175315,0.178697,0.182011,0.185294,0.188554,0.191781,0.194968,0.198112,0.201221,0.204296,0.207338,0.210343,0.213305,0.216221,0.219102,0.221955,0.224779,0.227560,0.230293,0.232987,0.235651,0.238282,0.240881
30: RETAIL PRICE,0.124600,0.129822,0.135696,0.140379,0.144316,0.147972,0.151557,0.155091,0.158612,0.162131,0.165642,0.169146,0.172639,0.176082,0.179432,0.182717,0.185973,0.189203,0.192401,0.195558,0.198671,0.201750,0.204796,0.207811,0.210788,0.213722,0.216613,0.219472,0.222305,0.225116,0.227891,0.230624,0.233322,0.235988,0.238623,0.241224
31: RETAIL PRICE,0.124600,0.127800,0.131759,0.137073,0.142408,0.146661,0.150476,0.154115,0.157705,0.161250,0.164778,0.168193,0.171515,0.174775,0.177968,0.181084,0.184131,0.187127,0.190084,0.192980,0.195809,0.198589,0.201325,0.204019,0.206668,0.209268,0.211817,0.214314,0.216768,0.219175,0.221530,0.223828,0.226079,0.228289,0.230461,0.232592
32: RETAIL PRICE,0.124600,0.129822,0.135696,0.140379,0.144316,0.147972,0.151557,0.155091,0.158612,0.162131,0.165634,0.169008,0.172292,0.175519,0.178681,0.181764,0.184775,0.187738,0.190663,0.193523,0.196317,0.199064,0.201768,0.204430,0.207050,0.209621,0.212143,0.214614,0.217044,0.219434,0.221778,0.224073,0.226325,0.228537,0.230710,0.232841
33: RETAIL PRICE,0.124600,0.130459,0.136626,0.143351,0.150749,0.158698,0.167105,0.175960,0.185159,0.194504,0.203719,0.212822,0.221924,0.231001,0.240031,0.248995,0.257887,0.266753,0.275617,0.284452,0.293242,0.301969,0.310616,0.319173,0.327649,0.336027,0.344284,0.352403,0.360371,0.368166,0.375766,0.383151,0.390307,0.397225,0.403895,0.410302
34: RETAIL PRICE,0.124600,0.130957,0.137763,0.145113,0.152976,0.161319,0.170058,0.179059,0.188068,0.197006,0.205941,0.214913,0.223883,0.232819,0.241702,0.250555,0.259424,0.268299,0.277159,0.285977,0.294735,0.303431,0.312075,0.320650,0.329137,0.337515,0.345764,0.353864,0.361803,0.369560,0.377111,0.384441,0.391543,0.398403,0.405008,0.411341
35: RETAIL PRICE,0.124600,0.130459,0.136626,0.143351,0.150749,0.158698,0.167105,0.175960,0.185153,0.194452,0.203612,0.212629,0.221613,0.230546,0.239415,0.248201,0.256897,0.265547,0.274175,0.282754,0.291265,0.299693,0.308017,0.316227,0.324333,0.332315,0.340151,0.347824,0.355319,0.362617,0.369692,0.376526,0.383106,0.389422,0.395464,0.401220
36: RETAIL PRICE,0.124600,0.130957,0.137763,0.145113,0.152976,0.161319,0.170058,0.179059,0.188055,0.196938,0.205812,0.214688,0.223532,0.232318,0.241033,0.249701,0.258367,0.267020,0.275637,0.284191,0.292665,0.301053,0.309366,0.317587,0.325695,0.333670,0.341489,0.349135,0.356592,0.363842,0.370860,0.377630,0.384146,0.390395,0.396363,0.402037
37: RETAIL PRICE,0.124600,0.130459,0.136626,0.143351,0.150749,0.158698,0.167105,0.175960,0.185159,0.194504,0.203717,0.212807,0.221878,0.230901,0.239844,0.248680,0.257399,0.266039,0.274593,0.283002,0.291216,0.299182,0.306840,0.314164,0.321084,0.327513,0.333352,0.338501,0.342867,0.346336,0.348780,0.350087,0.350177,0.348987,0.346468,0.341282
38: RETAIL PRICE,0.124600,0.130957,0.137763,0.145113,0.152976,0.161319,0.170058,0.179059,0.188068,0.197006,0.205938,0.214901,0.223868,0.232783,0.241611,0.250382,0.259117,0.267789,0.276351,0.284744,0.292925,0.300880,0.308555,0.315883,0.322783,0.329166,0.334931,0.339977,0.344210,0.347523,0.349791,0.350896,0.350758,0.349315,0.346524,0.341060
39: RETAIL PRICE,0.124600,0.130459,0.136626,0.143351,0.150749,0.158698,0.167105,0.175960,0.185153,0.194447,0.203590,0.212572,0.221494,0.230326,0.239041,0.247603,0.255998,0.264257,0.272362,0.280238,0.287821,0.295043,0.301831,0.308135,0.313864,0.318903,0.323128,0.326413,0.328645,0.329691,0.329411,0.327692,0.323603,0.316281,0.309561,0.305785
40: RETAIL PRICE,0.124600,0.130957,0.137763,0.145113,0.152976,0.161319,0.170058,0.179059,0.188054,0.196932,0.205789,0.214634,0.223440,0.232155,0.240746,0.249235,0.257638,0.265918,0.274015,0.281860,0.289394,0.296587,0.303369,0.309649,0.315326,0.320283,0.324395,0.327533,0.329585,0.330425,0.329915,0.327942,0.323604,0.315953,0.308980,0.305237
41: RETAIL PRICE,0.124600,0.131089,0.139047,0.149288,0.159352,0.168388,0.177100,0.185852,0.194689,0.203575,0.212349,0.220977,0.229308,0.237318,0.244964,0.252214,0.259094,0.265635,0.271815,0.277586,0.282965,0.288002,0.292723,0.297148,0.301301,0.305214,0.308902,0.312384,0.315699,0.318861,0.321873,0.324751,0.327274,0.329374,0.331538,0.332611
42: RETAIL PRICE,0.124600,0.133406,0.143687,0.152890,0.161495,0.169970,0.178543,0.187218,0.196058,0.204944,0.213703,0.222286,0.230567,0.238512,0.246079,0.253239,0.260022,0.266461,0.272536,0.278203,0.283479,0.288418,0.293062,0.297447,0.301584,0.305480,0.309148,0.312608,0.315900,0.319038,0.322025,0.324877,0.327405,0.329468,0.331596,0.332667
43: RETAIL PRICE,0.124600,0.131089,0.139047,0.149288,0.159352,0.168388,0.177100,0.185852,0.194494,0.203046,0.211432,0.219489,0.227134,0.234408,0.241291,0.247761,0.253853,0.259605,0.265004,0.270014,0.274660,0.278997,0.283059,0.286867,0.290443,0.293826,0.297036,0.300093,0.303036,0.305667,0.307861,0.309928,0.311149,0.312734,0.314678,0.316972
44: RETAIL PRICE,0.124600,0.133406,0.143687,0.152890,0.161495,0.169970,0.178543,0.187216,0.195834,0.204379,0.212726,0.220716,0.228290,0.235486,0.242279,0.248649,0.254635,0.260278,0.265568,0.270471,0.275013,0.279253,0.283230,0.286991,0.290551,0.293921,0.297116,0.300158,0.303084,0.305718,0.307885,0.309960,0.311143,0.312695,0.314610,0.316880
45: RETAIL PRICE,0.124600,0.131089,0.139047,0.149288,0.159352,0.168388,0.177100,0.185852,0.194689,0.203575,0.212339,0.220933,0.229193,0.237075,0.244507,0.251423,0.257813,0.263678,0.268947,0.273517,0.277360,0.280501,0.282945,0.284690,0.285749,0.286135,0.285857,0.284114,0.280802,0.278489,0.277560,0.280316,0.286013,0.291828,0.297654,0.303481
46: RETAIL PRICE,0.124600,0.133406,0.143687,0.152890,0.161495,0.169970,0.178543,0.187218,0.196058,0.204943,0.213693,0.222248,0.230468,0.238296,0.245659,0.252491,0.258785,0.264544,0.269702,0.274157,0.277884,0.280911,0.283268,0.284960,0.285980,0.286321,0.285993,0.284212,0.280849,0.278447,0.277456,0.280181,0.285880,0.291698,0.297528,0.303358
47: RETAIL PRICE,0.124600,0.131089,0.139047,0.149288,0.159352,0.168388,0.177100,0.185852,0.194491,0.203027,0.211371,0.219340,0.226821,0.233824,0.240285,0.246130,0.251351,0.255948,0.259854,0.262963,0.265256,0.266773,0.267533,0.267553,0.266365,0.263474,0.260777,0.259512,0.262734,0.268494,0.274318,0.280147,0.285976,0.291805,0.297633,0.303460
48: RETAIL PRICE,0.124600,0.133406,0.143687,0.152890,0.161495,0.169970,0.178543,0.187216,0.195831,0.204361,0.212670,0.220580,0.227999,0.234933,0.241309,0.247056,0.252167,0.256644,0.260426,0.263408,0.265573,0.266967,0.267621,0.267570,0.266345,0.263407,0.260648,0.259343,0.262592,0.268356,0.274184,0.280015,0.285847,0.291679,0.297510,0.303340
49: RETAIL PRICE,0.124600,0.131407,0.138559,0.146328,0.154801,0.163879,0.173479,0.183571,0.194035,0.204589,0.214981,0.225270,0.235552,0.245782,0.255954,0.266048,0.276064,0.286077,0.296080,0.306045,0.315950,0.325779,0.335513,0.345169,0.354730,0.364175,0.373478,0.382620,0.391582,0.400342,0.408873,0.417152,0.425171,0.432915,0.440366,0.447506
50: RETAIL PRICE,0.124600,0.131918,0.139729,0.148124,0.157096,0.166607,0.176556,0.186782,0.196999,0.207115,0.217243,0.227399,0.237533,0.247611,0.257623,0.267628,0.277645,0.287660,0.297650,0.307588,0.317456,0.327271,0.337024,0.346695,0.356261,0.365699,0.374986,0.384100,0.393024,0.401735,0.410214,0.418440,0.426399,0.434074,0.441447,0.448500
51: RETAIL PRICE,0.124600,0.131407,0.138559,0.146328,0.154801,0.163879,0.173479,0.183571,0.194014,0.204522,0.214853,0.225047,0.235209,0.245305,0.255328,0.265255,0.275088,0.284899,0.294682,0.304407,0.314052,0.323598,0.333029,0.342356,0.351566,0.360633,0.369534,0.378247,0.386753,0.395030,0.403051,0.410792,0.418244,0.425393,0.432223,0.438715
52: RETAIL PRICE,0.124600,0.131918,0.139729,0.148124,0.157096,0.166607,0.176556,0.186782,0.196968,0.207034,0.217092,0.227145,0.237153,0.247091,0.256947,0.266780,0.276608,0.286416,0.296180,0.305872,0.315472,0.324999,0.334440,0.343776,0.352982,0.362036,0.370912,0.379589,0.388049,0.396268,0.404227,0.411907,0.419290,0.426362,0.433105,0.439501
53: RETAIL PRICE,0.124600,0.131407,0.138559,0.146328,0.154801,0.163879,0.173479,0.183571,0.194035,0.204589,0.214974,0.225241,0.235481,0.245640,0.255714,0.265668,0.275481,0.285215,0.294824,0.304239,0.313391,0.322213,0.330668,0.338678,0.346138,0.352923,0.358892,0.363898,0.367795,0.370415,0.371580,0.371118,0.367872,0.361207,0.356830,0.360547
54: RETAIL PRICE,0.124600,0.131918,0.139729,0.148124,0.157096,0.166607,0.176556,0.186782,0.196999,0.207115,0.217236,0.227400,0.237537,0.247588,0.257535,0.267438,0.277281,0.287031,0.296631,0.306010,0.315143,0.323981,0.332442,0.340434,0.347846,0.354551,0.360407,0.365267,0.368994,0.371418,0.372349,0.371618,0.368074,0.361063,0.356547,0.360713
55: RETAIL PRICE,0.124600,0.131407,0.138559,0.146328,0.154801,0.163879,0.173479,0.183571,0.194013,0.204512,0.214819,0.224970,0.235054,0.245026,0.254873,0.264552,0.274040,0.283385,0.292527,0.301381,0.309857,0.317872,0.325364,0.332225,0.338315,0.343473,0.347516,0.350256,0.351514,0.351015,0.346993,0.341210,0.338379,0.345806,0.353158,0.360509
56: RETAIL PRICE,0.124600,0.131918,0.139729,0.148124,0.157096,0.166607,0.176556,0.186782,0.196966,0.207021,0.217057,0.227094,0.237068,0.246922,0.256635,0.266258,0.275766,0.285114,0.294233,0.303036,0.311478,0.319488,0.326960,0.333771,0.339777,0.344813,0.348696,0.351237,0.352267,0.351562,0.347209,0.341083,0.338375,0.345937,0.353297,0.360653
57: RETAIL PRICE,0.124600,0.132073,0.141182,0.152773,0.164018,0.174246,0.184159,0.194132,0.204177,0.214146,0.224056,0.233726,0.243046,0.252024,0.260634,0.268847,0.276685,0.284177,0.291302,0.298024,0.304359,0.310356,0.316042,0.321459,0.326646,0.331613,0.336379,0.340964,0.345407,0.349401,0.353110,0.356169,0.359090,0.362395,0.366087,0.370165
58: RETAIL PRICE,0.124600,0.134440,0.145936,0.156331,0.166133,0.175812,0.185595,0.195488,0.205533,0.215498,0.225380,0.234995,0.244252,0.253158,0.261683,0.269800,0.277537,0.284923,0.291942,0.298558,0.304791,0.310705,0.316354,0.321759,0.326931,0.331882,0.336628,0.341193,0.345614,0.349602,0.353279,0.356326,0.359207,0.362478,0.366143,0.370202
59: RETAIL PRICE,0.124600,0.132073,0.141182,0.152773,0.164018,0.174246,0.184159,0.194092,0.203865,0.213538,0.222994,0.232086,0.240772,0.249093,0.257028,0.264557,0.271712,0.278526,0.284991,0.291078,0.296814,0.302251,0.307422,0.312363,0.317124,0.321720,0.326168,0.330012,0.333718,0.336696,0.340017,0.343698,0.347758,0.352222,0.357067,0.362708
60: RETAIL PRICE,0.124600,0.134440,0.145936,0.156331,0.166133,0.175812,0.185595,0.195434,0.205192,0.214843,0.224251,0.233272,0.241885,0.250123,0.257964,0.265390,0.272436,0.279140,0.285494,0.291474,0.297107,0.302456,0.307583,0.312514,0.317264,0.321847,0.326282,0.330118,0.333817,0.336767,0.340065,0.343726,0.347773,0.352228,0.357067,0.362750
61: RETAIL PRICE,0.124600,0.132073,0.141182,0.152773,0.164018,0.174246,0.184159,0.194132,0.204177,0.214142,0.224031,0.233650,0.242865,0.251661,0.259972,0.267723,0.274887,0.281448,0.287326,0.292407,0.296649,0.300060,0.302633,0.304385,0.304968,0.303666,0.302427,0.302846,0.309648,0.317069,0.324504,0.331936,0.339364,0.346789,0.354209,0.361625
62: RETAIL PRICE,0.124600,0.134440,0.145936,0.156331,0.166133,0.175812,0.185595,0.195488,0.205533,0.215494,0.225358,0.234932,0.244098,0.252833,0.261065,0.268722,0.275780,0.282227,0.287986,0.292946,0.297065,0.300384,0.302906,0.304615,0.305164,0.303807,0.302481,0.302852,0.309679,0.317108,0.324550,0.331988,0.339423,0.346853,0.354278,0.361699
63: RETAIL PRICE,0.124600,0.132073,0.141182,0.152773,0.164018,0.174246,0.184159,0.194092,0.203857,0.213504,0.222902,0.231875,0.240343,0.248307,0.255694,0.262418,0.268450,0.273772,0.278302,0.281924,0.284599,0.286351,0.286796,0.285361,0.284524,0.287274,0.294676,0.302124,0.309571,0.317013,0.324450,0.331884,0.339314,0.346740,0.354162,0.361580
64: RETAIL PRICE,0.124600,0.134440,0.145936,0.156331,0.166133,0.175812,0.185595,0.195433,0.205184,0.214812,0.224168,0.233080,0.241486,0.249376,0.256670,0.263286,0.269199,0.274392,0.278790,0.282276,0.284818,0.286456,0.286832,0.285340,0.284458,0.287275,0.294693,0.302149,0.309602,0.317051,0.324495,0.331935,0.339371,0.346803,0.354230,0.361652
65: RETAIL PRICE,0.124600,0.126322,0.128186,0.130278,0.132549,0.135033,0.137673,0.140388,0.143146,0.145899,0.148581,0.151142,0.153591,0.155970,0.158302,0.160592,0.162848,0.165076,0.167281,0.169462,0.171623,0.173778,0.175930,0.178079,0.180223,0.182364,0.184498,0.186627,0.188749,0.190866,0.192976,0.195080,0.197183,0.199283,0.201381,0.203475
66: RETAIL PRICE,0.124600,0.126765,0.129074,0.131535,0.134154,0.136874,0.139633,0.142378,0.145050,0.147590,0.150015,0.152390,0.154729,0.157027,0.159281,0.161498,0.163685,0.165850,0.168010,0.170167,0.172318,0.174466,0.176609,0.178749,0.180883,0.183012,0.185134,0.187253,0.189371,0.191488,0.193601,0.195711,0.197817,0.199921,0.202021,0.204118
67: RETAIL PRICE,0.124600,0.126322,0.128186,0.130278,0.132549,0.135033,0.137673,0.140388,0.143146,0.145899,0.148577,0.151116,0.153529,0.155866,0.158159,0.160409,0.162624,0.164807,0.166961,0.169083,0.171181,0.173271,0.175356,0.177434,0.179505,0.181566,0.183618,0.185660,0.187694,0.189719,0.191732,0.193738,0.195738,0.197733,0.199723,0.201708
68: RETAIL PRICE,0.124600,0.126765,0.129074,0.131535,0.134154,0.136874,0.139633,0.142378,0.145050,0.147590,0.150009,0.152356,0.154655,0.156908,0.159121,0.161297,0.163440,0.165558,0.167663,0.169758,0.171845,0.173926,0.176000,0.178066,0.180123,0.182170,0.184207,0.186237,0.188263,0.190285,0.192300,0.194307,0.196309,0.198305,0.200295,0.202280
69: RETAIL PRICE,0.124600,0.126322,0.128186,0.130278,0.132549,0.135033,0.137673,0.140388,0.143146,0.145899,0.148581,0.151142,0.153591,0.155970,0.158302,0.160589,0.162841,0.165064,0.167261,0.169431,0.171578,0.173716,0.175848,0.177974,0.180093,0.182205,0.184306,0.186396,0.188476,0.190546,0.192602,0.194647,0.196683,0.198711,0.200730,0.202740
70: RETAIL PRICE,0.124600,0.126765,0.129074,0.131535,0.134154,0.136874,0.139633,0.142378,0.145050,0.147590,0.150015,0.152390,0.154729,0.157027,0.159281,0.161495,0.163678,0.165837,0.167989,0.170134,0.172271,0.174403,0.176528,0.178648,0.180760,0.182864,0.184958,0.187044,0.189125,0.191201,0.193268,0.195324,0.197372,0.199411,0.201440,0.203458
71: RETAIL PRICE,0.124600,0.126322,0.128186,0.130278,0.132549,0.135033,0.137673,0.140388,0.143146,0.145899,0.148577,0.151114,0.153522,0.155850,0.158130,0.160362,0.162554,0.164710,0.166831,0.168915,0.170967,0.173006,0.175032,0.177045,0.179043,0.181022,0.182982,0.184921,0.186841,0.188740,0.190615,0.192468,0.194300,0.196113,0.197906,0.199676
